Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF/6V,R_0603_1608Metric,142.367,-71.755,180.0,top
D1,LED,D_0805_2012Metric,105.2576,-108.6104,180.0,top
D2,LED,D_0805_2012Metric,119.7864,-43.0276,180.0,top
J1,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical,108.8798,-115.2602,90.0,top
J2,Screw_Terminal_01x02,RS PRO Terminal Small x2,120.142,-37.3912,180.0,top
J3,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,135.9875,-75.56,180.0,top
J4,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,109.22,-38.1,180.0,top
J5,Screw_Terminal_01x02,RS PRO Terminal Small x2,129.7496,-37.4396,180.0,top
J6,Screw_Terminal_01x02,RS PRO Terminal Small x2,140.710189,-37.471789,180.0,top
J7,Screw_Terminal_01x02,RS PRO Terminal Small x2,151.682989,-37.522589,180.0,top
J8,Screw_Terminal_01x02,RS PRO Terminal Small x2,162.655789,-37.471789,180.0,top
J9,Screw_Terminal_01x02,RS PRO Terminal Small x2,173.628589,-37.471789,180.0,top
J10,Screw_Terminal_01x02,RS PRO Terminal Small x2,184.601389,-37.471789,180.0,top
J11,Screw_Terminal_01x02,RS PRO Terminal Small x2,195.574189,-37.471789,180.0,top
J12,Screw_Terminal_01x02,RS PRO Terminal Small x2,120.0404,-116.0272,0.0,top
J13,Screw_Terminal_01x02,RS PRO Terminal Small x2,130.902469,-116.02328,0.0,top
J14,Screw_Terminal_01x02,RS PRO Terminal Small x2,141.773669,-116.02328,0.0,top
J15,Screw_Terminal_01x02,RS PRO Terminal Small x2,152.644869,-116.02328,0.0,top
J16,Screw_Terminal_01x02,RS PRO Terminal Small x2,163.516069,-116.02328,0.0,top
J17,Screw_Terminal_01x02,RS PRO Terminal Small x2,174.387269,-116.02328,0.0,top
J18,Screw_Terminal_01x02,RS PRO Terminal Small x2,185.207669,-116.02328,0.0,top
J19,Screw_Terminal_01x02,RS PRO Terminal Small x2,196.078869,-116.02328,0.0,top
Q1,BSS138,SOT-23,120.015,-52.705,90.0,top
R1,1KΩ,R_0603_1608Metric,108.9152,-108.6104,180.0,top
R2,1KΩ,R_0603_1608Metric,117.475,-48.895,0.0,top
R3,10KΩ,R_0603_1608Metric,113.665,-48.895,180.0,top
R4,3.3KΩ,R_0603_1608Metric,120.015,-55.88,180.0,top
R5,12KΩ,R_0603_1608Metric,142.367,-67.945,180.0,top
R6,12KΩ,R_0603_1608Metric,142.367,-69.85,0.0,top
R7,220Ω,R_0603_1608Metric,109.855,-48.895,180.0,top
R8,1KΩ,R_0603_1608Metric,142.367,-77.465,180.0,top
R9,100KΩ,R_0603_1608Metric,142.367,-75.56,180.0,top
R10,12KΩ,R_0603_1608Metric,142.367,-73.655,0.0,top
R11,1KΩ,R_0603_1608Metric,132.2086,-60.452,180.0,top
R12,220Ω/0.5W,R_0805_2012Metric,127.7986,-53.4416,180.0,top
R13,120Ω/0.5W,R_0805_2012Metric,127.805,-56.96,180.0,top
R14,100Ω/0.5W,R_0805_2012Metric,127.805,-60.452,180.0,top
R15,62Ω/0.5W,R_0805_2012Metric,132.2086,-53.4416,0.0,top
R16,33Ω/0.5W,R_0805_2012Metric,132.215,-56.96,0.0,top
R17,1KΩ,R_0603_1608Metric,143.169189,-60.484189,180.0,top
R18,220Ω/0.5W,R_0805_2012Metric,138.759189,-53.473789,180.0,top
R19,120Ω/0.5W,R_0805_2012Metric,138.765589,-56.992189,180.0,top
R20,100Ω/0.5W,R_0805_2012Metric,138.765589,-60.484189,180.0,top
R21,62Ω/0.5W,R_0805_2012Metric,143.169189,-53.473789,0.0,top
R22,33Ω/0.5W,R_0805_2012Metric,143.175589,-56.992189,0.0,top
R23,1KΩ,R_0603_1608Metric,154.141989,-60.534989,180.0,top
R24,220Ω/0.5W,R_0805_2012Metric,149.731989,-53.524589,180.0,top
R25,120Ω/0.5W,R_0805_2012Metric,149.738389,-57.042989,180.0,top
R26,100Ω/0.5W,R_0805_2012Metric,149.738389,-60.534989,180.0,top
R27,62Ω/0.5W,R_0805_2012Metric,154.141989,-53.524589,0.0,top
R28,33Ω/0.5W,R_0805_2012Metric,154.148389,-57.042989,0.0,top
R29,1KΩ,R_0603_1608Metric,165.114789,-60.484189,180.0,top
R30,220Ω/0.5W,R_0805_2012Metric,160.704789,-53.473789,180.0,top
R31,120Ω/0.5W,R_0805_2012Metric,160.711189,-56.992189,180.0,top
R32,100Ω/0.5W,R_0805_2012Metric,160.711189,-60.484189,180.0,top
R33,62Ω/0.5W,R_0805_2012Metric,165.114789,-53.473789,0.0,top
R34,33Ω/0.5W,R_0805_2012Metric,165.121189,-56.992189,0.0,top
R35,1KΩ,R_0603_1608Metric,176.087589,-60.484189,180.0,top
R36,220Ω/0.5W,R_0805_2012Metric,171.677589,-53.473789,180.0,top
R37,120Ω/0.5W,R_0805_2012Metric,171.683989,-56.992189,180.0,top
R38,100Ω/0.5W,R_0805_2012Metric,171.683989,-60.484189,180.0,top
R39,62Ω/0.5W,R_0805_2012Metric,176.087589,-53.473789,0.0,top
R40,33Ω/0.5W,R_0805_2012Metric,176.093989,-56.992189,0.0,top
R41,1KΩ,R_0603_1608Metric,187.060389,-60.484189,180.0,top
R42,220Ω/0.5W,R_0805_2012Metric,182.650389,-53.473789,180.0,top
R43,120Ω/0.5W,R_0805_2012Metric,182.656789,-56.992189,180.0,top
R44,100Ω/0.5W,R_0805_2012Metric,182.656789,-60.484189,180.0,top
R45,62Ω/0.5W,R_0805_2012Metric,187.060389,-53.473789,0.0,top
R46,33Ω/0.5W,R_0805_2012Metric,187.066789,-56.992189,0.0,top
